ID,DIR_NAME,STATUS,ELAPSED_MIN,BEST_AFFINITY,START_TIME,END_TIME
LIG_0051,LIG_0051__N-((3-(4-(benzyloxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl)-L-leucin,DONE,1.73,-9.8839,2026-03-18 13:33:31,2026-03-18 13:35:15
LIG_0052,LIG_0052__N-((3-(4-(benzyloxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl)-L-methion,DONE,1.81,-9.3582,2026-03-18 13:35:15,2026-03-18 13:37:04
LIG_0053,LIG_0053__N-((3-(4-(benzyloxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl)-L-phenyla,DONE,1.99,-11.1399,2026-03-18 13:37:04,2026-03-18 13:39:03
LIG_0054,LIG_0054__N-((3-(4-(benzyloxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl)-L-tryptop,DONE,2.20,-10.5052,2026-03-18 13:39:03,2026-03-18 13:41:15
LIG_0055,LIG_0055__N-((3-(4-(benzyloxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl)-L-tyrosin,DONE,2.00,-10.3517,2026-03-18 13:41:15,2026-03-18 13:43:15
LIG_0056,LIG_0056__3-(((3-(4-(benzyloxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl)amino)ben,DONE,1.67,-11.7621,2026-03-18 13:43:15,2026-03-18 13:44:55
LIG_0057,LIG_0057__4-(((3-(4-(benzyloxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl)amino)ben,DONE,1.64,-10.5474,2026-03-18 13:44:55,2026-03-18 13:46:34
LIG_0058,LIG_0058__N-((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl),DONE,1.53,-10.0082,2026-03-18 13:46:34,2026-03-18 13:48:06
LIG_0059,LIG_0059__N-((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl),DONE,1.50,-9.7193,2026-03-18 13:48:06,2026-03-18 13:49:36
LIG_0060,LIG_0060__N-((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl),DONE,1.81,-9.8492,2026-03-18 13:49:36,2026-03-18 13:51:25
LIG_0061,LIG_0061__N-((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl),DONE,1.92,-9.6791,2026-03-18 13:51:25,2026-03-18 13:53:20
